Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,best_corr,cluster_assigned,cluster_assigned_btz
20200803_1535_blob_1160_,-0.702921932,0.778718916,-0.135871784,0.247649223,0.461106517,0.404149273,0.017005868,0.234449541,F2,2,2
20200803_1535_blob_1162_,-0.777586656,0.837203227,0.00340099,0.178295085,0.797806485,0.266155416,0.071539487,-0.011596051,F2,2,2
20200803_1535_blob_1163_,-0.742888193,0.832903245,-0.138135456,0.675161408,0.372303839,0.709240964,-0.030532415,0.115452615,F2,2,2
20200803_1535_blob_1164_,-0.782068856,0.847086236,-0.240828933,0.673515786,0.287910037,0.668468,-0.095527809,0.118631363,F2,2,2
20200803_1535_blob_1166_,-0.727410096,0.829439438,-0.124870218,0.205828241,0.595901434,0.403114164,0.03055828,0.188489021,F2,2,2
20200803_1535_blob_1168_,-0.763258413,0.739048129,0.189274899,0.553512713,0.700463221,0.253754552,0.11863459,-0.289102699,F2,2,2
20200803_1535_blob_1172_,-0.602319618,0.552622553,0.48243129,0.230357635,0.94187434,-0.130501078,0.152781686,-0.502737512,F5,5,5
20200803_1535_blob_1174_,-0.634955045,0.537391427,0.1098813,0.802757618,0.121752366,0.550563604,-0.214674964,-0.078335655,F4,4,4
20200803_1535_blob_1177_,-0.483029908,0.561402483,-0.533823092,0.403737165,-0.14393969,0.938149267,-0.365490557,0.439297796,F6,6,6
20200803_1535_blob_1178_,-0.780560572,0.891948713,-0.256343508,0.587490794,0.357406607,0.860252325,-0.111019576,0.251975406,F2,2,2
20200803_1535_blob_1184_,-0.640270443,0.779129488,-0.020714686,0.075013916,0.678463952,0.320723044,0.082085785,0.204687425,F2,2,2
20200803_1535_blob_1188_,-0.831259408,0.934086802,-0.210289677,0.483282914,0.448862998,0.745739732,-0.086928483,0.26598808,F2,2,2
20200803_1535_blob_1190_,-0.695046487,0.844658959,-0.353453693,0.364265178,0.276740021,0.844749604,-0.177951406,0.43747757,F6,6,6
20200803_1535_blob_1192_,-0.818886357,0.841975814,0.157934401,0.55103676,0.773837503,0.331120644,0.121937773,-0.227190867,F2,2,2
20200803_1535_blob_1193_,-0.759639519,0.70245477,-0.033187537,0.535035491,0.515398303,0.261265796,0.033849932,-0.245905216,F2,2,2
20200803_1535_blob_1194_,-0.566651084,0.705968463,0.027926496,0.350392781,0.418701531,0.396923527,0.135378475,0.277798658,F2,2,2
20200803_1535_blob_1195_,-0.730930189,0.786727695,-0.036184996,0.292178826,0.664570241,0.343499399,0.062248255,-0.050156997,F2,2,2
20200803_1535_blob_1196_,0.025992672,0.057699988,-0.348854147,0.142300911,-0.353321328,0.628551399,-0.20294934,0.398339312,F6,6,6
